Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2040,31217,12553,67.2578,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2045,35661,16997,91.0684,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2050,39912,21248,113.8448,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2022,20,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2025,20,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2030,25,5,25,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2035,31,11,55,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2040,40,20,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2045,49,29,145,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,84,Belize,2,0,20,2050,61,41,205,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2022,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2025,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2030,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2035,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2040,3,1,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2045,4,2,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,90,Solomon Islands,2,0,2,2050,5,3,150,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2022,18,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2025,21,3,16.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2030,23,5,27.7778,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2035,27,9,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2040,32,14,77.7778,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2045,35,17,94.4444,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,96,Brunei Darussalam,2,0,18,2050,38,20,111.1111,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2022,843,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2025,847,4,0.4745,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2030,874,31,3.6773,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2035,892,49,5.8126,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2040,889,46,5.4567,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2045,880,37,4.3891,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,100,Bulgaria,2,0,843,2050,873,30,3.5587,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2022,828,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2025,860,32,3.8647,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2030,982,154,18.599,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2035,1113,285,34.4203,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2040,1241,413,49.8792,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2045,1365,537,64.8551,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,104,Myanmar,2,0,828,2050,1483,655,79.1063,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2022,108,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2025,124,16,14.8148,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2030,151,43,39.8148,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2035,182,74,68.5185,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2040,219,111,102.7778,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2045,265,157,145.3704,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,108,Burundi,2,0,108,2050,321,213,197.2222,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2022,1443,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2025,1540,97,6.7221,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2030,1619,176,12.1968,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2035,1702,259,17.9487,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2040,1757,314,21.7602,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2045,1790,347,24.0471,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,112,Belarus,2,0,1443,2050,1806,363,25.1559,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2022,164,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2025,195,31,18.9024,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2030,224,60,36.5854,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2035,262,98,59.7561,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2040,292,128,78.0488,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2045,337,173,105.4878,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,116,Cambodia,2,0,164,2050,372,208,126.8293,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2022,222,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2025,242,20,9.009,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2030,290,68,30.6306,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2035,346,124,55.8559,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2040,415,193,86.9369,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2045,494,272,122.5225,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,120,Cameroon,2,0,222,2050,585,363,163.5135,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2022,30399,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2025,33007,2608,8.5792,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2030,38119,7720,25.3956,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2035,43705,13306,43.7712,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2040,48886,18487,60.8145,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2045,53027,22628,74.4367,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,124,Canada,2,0,30399,2050,55759,25360,83.4238,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2022,6,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2025,8,2,33.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2030,9,3,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2035,12,6,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2040,14,8,133.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2045,17,11,183.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,132,Cape Verde,2,0,6,2050,20,14,233.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2022,30,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2025,31,1,3.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2030,36,6,20,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2035,42,12,40,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2040,47,17,56.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2045,56,26,86.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,140,Central African Republic,2,0,30,2050,66,36,120,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2022,218,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2025,239,21,9.633,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2030,275,57,26.1468,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2035,309,91,41.7431,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2040,336,118,54.1284,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2045,361,143,65.5963,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,144,Sri Lanka,2,0,218,2050,383,165,75.6881,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2022,39,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2025,40,1,2.5641,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2030,49,10,25.641,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2035,59,20,51.2821,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2040,72,33,84.6154,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2045,84,45,115.3846,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,148,Chad,2,0,39,2050,96,57,146.1538,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2022,1423,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2025,1528,105,7.3788,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2030,1765,342,24.0337,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2035,2056,633,44.4835,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2040,2372,949,66.6901,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2045,2681,1258,88.4048,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,152,Chile,2,0,1423,2050,2964,1541,108.2923,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2022,30043,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2025,33048,3005,10.0023,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2030,38490,8447,28.1164,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2035,44808,14765,49.1462,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2040,50940,20897,69.557,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2045,55784,25741,85.6805,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,160,China,2,0,30043,2050,60130,30087,100.1465,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2022,2193,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2025,2224,31,1.4136,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2030,2698,505,23.0278,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2035,3257,1064,48.518,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2040,3861,1668,76.0602,0
