age_slot,country,gender_slug,phototype_slug,protect,expo,count,protect_percent,expo_percent
20-39,ISRAEL,male,v_vi,2,14,20,10.0,70.0
20-39,ISRAEL,female,iii_iv,8,56,110,7.2727272727272725,50.90909090909091
20-39,ISRAEL,female,i_ii,12,56,111,10.81081081081081,50.45045045045045
20-39,ISRAEL,female,v_vi,3,9,11,27.27272727272727,81.81818181818183
20-39,BRAZIL,male,iii_iv,73,223,495,14.747474747474747,45.05050505050505
20-39,BRAZIL,male,i_ii,73,152,312,23.397435897435898,48.717948717948715
20-39,BRAZIL,male,v_vi,20,57,139,14.388489208633093,41.007194244604314
20-39,BRAZIL,female,iii_iv,100,202,562,17.793594306049823,35.94306049822064
20-39,BRAZIL,female,i_ii,74,144,371,19.946091644204852,38.81401617250674
20-39,BRAZIL,female,v_vi,19,43,117,16.23931623931624,36.75213675213676
20-39,UNITED STATES,male,iii_iv,39,215,341,11.436950146627565,63.049853372434015
20-39,UNITED STATES,male,i_ii,55,263,475,11.578947368421053,55.368421052631575
20-39,UNITED STATES,male,v_vi,16,119,174,9.195402298850574,68.39080459770115
20-39,UNITED STATES,female,iii_iv,38,199,323,11.76470588235294,61.60990712074303
20-39,UNITED STATES,female,i_ii,107,340,577,18.544194107452338,58.925476603119584
20-39,UNITED STATES,female,v_vi,12,53,104,11.538461538461538,50.96153846153846
20-39,SPAIN,male,iii_iv,39,164,316,12.341772151898734,51.89873417721519
20-39,SPAIN,male,i_ii,58,177,360,16.11111111111111,49.166666666666664
20-39,SPAIN,male,v_vi,8,25,58,13.793103448275861,43.103448275862064
20-39,SPAIN,female,iii_iv,93,188,339,27.43362831858407,55.45722713864307
20-39,SPAIN,female,i_ii,90,187,402,22.388059701492537,46.517412935323385
20-39,SPAIN,female,v_vi,3,11,34,8.823529411764707,32.35294117647059
20-39,SOUTH AFRICA,male,iii_iv,9,86,124,7.258064516129033,69.35483870967742
20-39,SOUTH AFRICA,male,i_ii,6,20,34,17.647058823529413,58.82352941176471
