Pays,Lon,Lat,Globocan,Flags,pourcentage,yearly_shunshine_hour
Suriname,-56.0,4.0,Suriname,Suriname,1.8,35.04
Sweden,15.0,62.0,Sweden,Suede,5.26,52.56
Switzerland,8.2,46.8,Switzerland,Suisse,10.23,122.64
Syria,38.0,34.0,Syrian Arab Republic,Syrie,0.0,0.0
Tajikistan,71.0,39.0,Tajikistan,Tadjikistan,-1.5,-26.28
Tanzania,35.0,-6.0,"Tanzania, United Republic of",Tanzanie,-0.82,-17.52
Thailand,101.0,15.0,Thailand,Taïlande,-0.92,-17.52
Timor-Leste,125.0,-8.5,Timor-Leste,Timor oriental,0.0,0.0
Togo,1.0,8.0,Togo,Togo,-5.54,-105.12
Tonga,-175.0,-20.0,,Tonga,0.0,0.0
Trinidad and Tobago,-61.0,10.5,Trinidad and Tobago,Trinite-et-Tobago,1.85,35.04
Tunisia,9.0,34.0,Tunisia,Tunisie,1.8,35.04
Turkey,35.0,39.0,TÃ¼rkiye,Turquie,4.13,70.08
Turkmenistan,60.0,40.0,Turkmenistan,Turkmenistan,1.0,17.52
Tuvalu,179.0,-8.0,,Tuvalu,0.0,0.0
Uganda,32.0,1.0,Uganda,Ouganda,-2.51,-52.56
Ukraine,32.0,49.0,Ukraine,Ukraine,9.12,113.88
United Arab Emirates,54.0,24.0,United Arab Emirates,Emirats arabes unis,-3.19,-70.08
United Kingdom,-3.0,55.0,United Kingdom,Royaume-Uni,11.7,105.12
United States of America,-97.0,38.0,United States of America,Etats-Unis,4.78,78.84
Uruguay,-56.0,-33.0,Uruguay,Uruguay,0.0,0.0
Uzbekistan,64.0,41.0,Uzbekistan,Ouzbekistan,2.06,35.04
Vanuatu,167.0,-16.0,Vanuatu,Vanuatu,0.0,0.0
Vatican City,12.5,41.9,,Vatican,7.68,122.64
Venezuela,-66.0,8.0,Venezuela,Venezuela,2.7,52.56
Vietnam,107.0,16.0,Viet Nam,Viet Nam,0.0,0.0
Yemen,48.0,15.0,Yemen,Yemen,-3.29,-78.84
Zambia,28.0,-15.0,Zambia,Zambie,0.0,0.0
Zimbabwe,30.0,-20.0,Zimbabwe,Zimbabwe,0.0,0.0
Puerto Rico,-66.0,18.2,Puerto Rico,Porto Rico,1.95,35.04
Gaza Strip and West Bank,34.5,31.5,Gaza Strip and West Bank,Gaza Strip and West Bank,0.84,17.52
Guam,144.8,13.4,Guam,Guam,1.25,26.28
French Polynesia,-143.9,-17.8,French Polynesia,French Polynesia,0.97,17.52
"France, La Reunion",55.5,-21.1,"France, La RÃ©union","France, La Reunion",0.52,8.76
"France, Martinique",-61.1,14.6,"France, Martinique","France, Martinique",1.75,35.04
"France, Guadeloupe",-61.3,16.2,"France, Guadeloupe",Guadeloupe,1.8,35.04
French Guyana,-53.1,4.9,French Guyana,French Guyana,2.77,52.56
New Caledonia,166.5,-22.3,New Caledonia,Nouvelle-Calédonie,0.0,0.0
